Date,Value
2019-11-28,1
2019-12-11,1
2019-12-12,1
2020-01-30,1
2020-02-17,1
2020-02-19,1
2020-03-09,1
2020-06-17,1
2020-08-14,1
2020-09-23,1
2020-10-20,1
2020-10-23,1
2020-11-04,1
2020-11-30,1
2021-01-20,1
2021-05-05,1
2021-05-12,1
2021-06-09,1
2021-10-05,1
2021-10-28,1
2021-11-04,1
2022-01-18,1
2022-02-21,1
2022-09-15,1
2022-09-23,1
2022-10-04,1
2022-11-22,1
2022-11-24,1
2022-12-01,1
2022-12-19,1
2023-01-13,1
2023-03-03,1
2023-07-18,1
2023-08-01,1
2023-08-02,1
2023-08-11,1
2023-08-17,1
2023-08-25,1
2023-09-27,1
2023-11-21,0
2023-11-22,1
2023-12-10,0
2023-12-22,1
2024-01-18,1
2024-01-23,0
